,features,prediction,outlier,location_1/latitude,location_1/human_address/address,location_1/human_address/city,location_1/human_address/state,location_1/human_address/zip,location_1/longitude,hours,requirements,website/url,months_of_operation,citymap_location/url,organizer,composted_by,materials_accepted,days,location,borough,features_location_1/human_address/city,features_borough,features_location_1/human_address/city_encoded,features_borough_encoded,vector_features
0,"[-1.01702344523,-0.673430461217]",0,false,40.7814,92nd St &amp; 1st Ave,New York,NY,10128&nbsp;&nbsp;,-73.95057,9 am \u2013 1 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,"(June 17-Dec 23, 2012)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=999041,223708&c=GISBasic&s=i:EAST+92+STREET,1+AVENUE,MANHATTAN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,NYC Department of Sanitation,food scraps,Sundays,92nd Street\u00A0Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
1,"[-1.01702344523,-0.673430461217]",0,false,40.79812,Broadway b/t 114 &amp; 115 St,New York,NY,10025&nbsp;&nbsp;&nbsp;,-73.96729,8 am \u2013 1 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=993981,233184&c=GISBasic&s=i:BROADWAY,WEST+114+STREET,MANHATTAN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,NYC Department of Sanitation,food scraps,Sundays,Columbia University\u00A0Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
2,"[-1.01702344523,-0.673430461217]",0,false,40.70905,South Street b/t Beekman St. &amp; Peck Slip,New York,NY,10038&nbsp;&nbsp;,-74.00543,8 am \u2013 5 pm,households only; no businesses or other commercial generators may drop off organic waste,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,Year Round,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=983762,196866&c=GISBasic&s=k:SOUTH+STREET,BEEKMAN+STREET,PECK+SLIP,MANHATTAN",NYC Compost Project Local Organics Recovery Program\u00A0,Earth Matter NY\u00A0\u00A0through the\u00A0NYC Compost Project Local Organics Recovery Program\u00A0,food scraps,Sundays,New Amsterdam Market\u00A0,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
3,"[-1.01702344523,-0.673430461217]",0,false,40.77602,East 82nd St &amp; York Ave,New York,NY,10028&nbsp;&nbsp;,-73.95275,9 am \u2013 1 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997935,221182&c=GISBasic&s=l:MANHATTAN,1561,37,PLUTO",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,NYC Department of Sanitation,food scraps,Saturdays,82nd Street Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
4,"[-1.01702344523,-0.673430461217]",0,false,40.86664,3725 10th Ave (between Dyckman St &amp; 201st St),New York,NY,10034&nbsp;,-73.9215,8 am \u2013 4 pm,"Drop off food scraps in the green metal containers within the large operations yard on the east side of the street. Do not include any metal, plastic, meat, oils, cooked foods, or highly invasive weeds. Contact jsmith@nyrp.org with any questions.",http://www.nyrp.org/,Year Round,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1006138,252047&c=GISBasic&s=a:3725,10+AVENUE,MANHATTAN",New York Restoration Project\u00A0,New York Restoration Project\u00A0,"food scraps, leaves, garden trimmings",Monday \u2013 Friday,Sherman Creek Center\u00A0,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
5,"[-1.01702344523,-0.673430461217]",0,false,40.72639,North side of East 7th St between Ave B &amp; Ave C,New York,NY,10009&nbsp;,-73.98097,8 am \u2013 5 pm,households only; no businesses or other commercial generators may drop off organic waste,http://www.lesecologycenter.org/,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1006208,256266&c=GISBasic&s=i:ISHAM+STREET,SEAMAN+AVENUE,MANHATTAN",Lower East Side Ecology Center\u00A0,Lower East Side Ecology Center\u00A0,food scraps,Sundays,Lower East Side Ecology Center Community Garden,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
6,"[-1.01702344523,-0.673430461217]",0,false,40.7649,57th St &amp; 9th Ave,New York,NY,10019&nbsp;&nbsp;,-73.9842,8 am \u2013 1 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,"(through Dec 22, 2012)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=988207,219050&c=GISBasic&s=i:WEST+57+STREET,9+AVENUE,MANHATTAN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,NYC Department of Sanitation,food scraps,Saturdays,57th Street\u00A0Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
7,"[-1.01702344523,-0.673430461217]",0,false,40.72639,East 7th St. &amp; Ave. A,New York,NY,10009&nbsp;&nbsp;,-73.98097,8 am \u2013\u00A01 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=988814,203798&c=GISBasic&s=i:EAST+7+STREET,AVENUE+A,MANHATTAN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,NYC Department of Sanitation,food scraps,Sundays,Tompkins Square Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
8,"[-1.01702344523,-0.673430461217]",0,false,40.77696,66th St. &amp; Columbus Ave.,New York,NY,10023&nbsp;&nbsp;,-73.98186,8 am \u2013\u00A01:00 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=989354,221121&c=GISBasic&s=i:WEST+66+STREET,COLUMBUS+AVENUE,MANHATTAN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,NYC Department of Sanitation,food scraps,Saturdays,Tucker Square Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
9,"[-1.01702344523,-0.673430461217]",0,false,40.73692524,39 Union Square West,New York,NY,10003&nbsp;,-73.99048536,8 am \u2013 5 pm,households only; no businesses or other commercial generators may drop off organic waste,http://www.lesecologycenter.org/,Year Round,http://gis.nyc.gov/doitt/nycitymap/?searchType=AddressSearch&addressNumber=39&street=union+sq+west&borough=Manhattan&Submit=Go,Lower East Side Ecology Center\u00A0,Lower East Side Ecology Center\u00A0,food scraps,"Mondays, Wednesdays, Fridays, Saturdays",Union Square Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
10,"[-1.01702344523,-0.673430461217]",0,false,40.73393,West 12 St &amp; 8th Ave,New York,NY,10014&nbsp;,-74.00501,8 am \u2013 1 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=982912,207985&c=GISBasic&s=i:WEST+12+STREET,8+AVENUE,MANHATTAN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,NYC Department of Sanitation,food scraps,Saturdays,Abingdon Square Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
11,"[-1.01702344523,-0.673430461217]",0,false,40.7863,79th St &amp; Columbus Ave,New York,NY,10024&nbsp;&nbsp;,-73.97527,9 am \u2013 1:00 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=991040,224164&c=GISBasic&s=i:WEST+79+STREET,COLUMBUS+AVENUE,MANHATTAN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,NYC Department of Sanitation,food scraps,Sundays,79th Street Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
12,"[-1.01702344523,-0.673430461217]",0,false,40.86664,Isham St between Seaman Ave &amp; Cooper St,New York,NY,10034&nbsp;,-73.9215,8 am \u2013 12 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1006208,256266&c=GISBasic&s=i:ISHAM+STREET,SEAMAN+AVENUE,MANHATTAN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,New York Restoration Project\u00A0,food scraps,Saturdays,Inwood Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
13,"[-1.01702344523,-0.673430461217]",0,false,40.7137,Greenwich St &amp; Chambers St,New York,NY,10007&nbsp;,-74.0079,8 am \u2013\u00A01 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,"http://gis.nyc.gov/doitt/nycitymap/?z=9&p=981187,200258&c=GISBasic&s=i:GREENWICH+STREET,CHAMBERS+STREET,MANHATTAN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,NYC Department of Sanitation,food scraps,Saturdays,Tribeca Greenmarket,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
14,"[-1.01702344523,-0.673430461217]",0,false,40.70139752,Governors Island,New York,NY,10004&nbsp;&nbsp;,-74.01163741,whenever Governors Island is open to the public,check\u00A0Trust for Governors Island\u00A0\u00A0\u00A0website for specific food scrap drop-off sites on Governors Island and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=980605,190782&c=GISBasic&s=a:1,GOVERNORS+ISLAND,MANHATTAN",NYC Compost Project Local Organics Recovery Program\u00A0,Earth Matter NY\u00A0\u00A0through the\u00A0NYC Compost Project Local Organics Recovery Program\u00A0,food scraps,whenever Governors Island is open to the public,Governor's Island Public Food Scrap Drop-Off Sites,MN,0.0,0.0,"(8,[0],[1.0])","(4,[0],[1.0])","(12,[0,8],[1.0,1.0])"
15,"[0.0163059874857,0.703623715328]",1,false,40.75235,34th Ave at 77th St,Jackson Heights,NY,11372&nbsp;,-73.88214,9 am \u2013 12 pm,food scrap drop off when farmers market is in operation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,Year round,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1014814,213723&c=GISBasic&s=i:34+AVENUE,77+STREET,QUEENS",Western Queens Compost Initiative\u00A0\u00A0through the\u00A0NYC Compost Project Local Organics Recovery Program\u00A0,Western Queens Compost Initiative\u00A0\u00A0through the\u00A0NYC Compost Project Local Organics Recovery Program\u00A0,food scraps,Sundays,Jackson Heights Greenmarket,QN,7.0,2.0,"(8,[7],[1.0])","(4,[2],[1.0])","(12,[7,10],[1.0,1.0])"
16,"[0.0163059874857,0.703623715328]",1,false,40.74376,43rd St &amp; Skillman Ave,Sunnyside,NY,11104&nbsp;,-73.92164,9 am \u2013 12 pm,food scrap drop off only when farmers market is in operation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,http://gis.nyc.gov/doitt/nycitymap/?searchType=IntersectionSearch&crossStreetOne=43rd+St&crossStreetTwo=Skillman+Ave&borough=Queens&Submit4=Go,Western Queens Compost Initiative\u00A0\u00A0through the\u00A0NYC Compost Project Local Organics Recovery Program\u00A0,Western Queens Compost Initiative\u00A0\u00A0through the\u00A0NYC Compost Project Local Organics Recovery Program\u00A0,food scraps,Saturdays,Sunnyside Greenmarket,QN,5.0,2.0,"(8,[5],[1.0])","(4,[2],[1.0])","(12,[5,10],[1.0,1.0])"
17,"[0.0163059874857,0.703623715328]",1,false,40.74801388,73-50 Little Neck Parkway,Floral Park,NY,11004-1129&nbsp;,-73.7194297,10 am\u00A0\u2013\u00A04:30 pm,"""food scrap drop off only when farm stand in operation; look for the bin and the """"What to Compost\"""" sign""",http://www.queensfarm.org/,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1060277,211062&c=GISBasic&s=a:73-50,LITTLE+NECK+PARKWAY,QUEENS2",Queens County Farm Museum\u00A0,Queens County Farm Museum\u00A0,food scraps,Monday - Sunday,Queens County Farm Museum,QN,6.0,2.0,"(8,[6],[1.0])","(4,[2],[1.0])","(12,[6,10],[1.0,1.0])"
18,"[0.982395162939,-0.721500067848]",2,false,40.69374,Washington Park b/t Dekalb Ave &amp; Willoughby Ave,Brooklyn,NY,11201&nbsp;,-73.99131,8 am \u2013 3 pm,check website for specific food scrap drop-off requirements and schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,Year Round,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=991703,190525&c=GISBasic&s=i:DEKALB+AVENUE,WASHINGTON+PARK,BROOKLYN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,GrowNYC community partners,food scraps,Saturdays,Fort Greene Greenmarket\u00A0,BK,1.0,1.0,"(8,[1],[1.0])","(4,[1],[1.0])","(12,[1,9],[1.0,1.0])"
19,"[0.982395162939,-0.721500067848]",2,false,40.68022,"Carroll St, b/t Smith &amp; Court",Brooklyn,NY,11231&nbsp;,-74.00067,8 am \u2013\u00A01 pm,check website regularly for drop off schedule updates,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=985667,187092&c=GISBasic&s=i:SMITH+STREET,CARROLL+STREET,S,BROOKLYN",DSNY & GrowNYC Food Waste Drop-Off Program\u00A0,NYC Department of Sanitation,food scraps,Sundays,Carrol Gardens\u00A0Greenmarket,BK,1.0,1.0,"(8,[1],[1.0])","(4,[1],[1.0])","(12,[1,9],[1.0,1.0])"
20,"[0.982395162939,-0.721500067848]",2,false,40.71978151,229 North 12th St,Brooklyn,NY,11211&nbsp;,-73.95335567,9 am \u2013 12 pm,must assist with maintenance of compost site,http://northbrooklyncompostproject.wordpress.com/,Year Round,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997287,201419&c=GISBasic&s=a:229,NORTH+12+STREET,BROOKLYN",North Brooklyn Compost Project\u00A0,North Brooklyn Compost Project\u00A0,food scraps,Saturdays,North Brooklyn Compost Project @ McCarren Park,BK,1.0,1.0,"(8,[1],[1.0])","(4,[1],[1.0])","(12,[1,9],[1.0,1.0])"
